iter	Passed	Remaining
407	6295	9135
408	6305	9112
409	6316	9089
410	6327	9068
411	6337	9045
412	6348	9023
413	6359	9001
414	6371	8981
415	6383	8961
416	6395	8941
417	6408	8922
418	6419	8901
419	6430	8879
420	6442	8859
421	6452	8838
422	6463	8816
423	6474	8795
424	6484	8773
425	6496	8753
426	6509	8735
427	6519	8713
428	6532	8694
429	6544	8675
430	6556	8655
431	6567	8634
432	6579	8615
433	6591	8596
434	6602	8575
435	6613	8554
436	6624	8534
437	6634	8512
438	6645	8491
439	6656	8471
440	6666	8449
441	6677	8429
442	6688	8409
443	6699	8389
444	6709	8368
445	6721	8349
446	6732	8329
447	6743	8308
448	6754	8288
449	6764	8268
450	6774	8247
451	6785	8226
452	6796	8206
453	6806	8185
454	6817	8165
455	6828	8146
456	6838	8125
457	6850	8106
458	6861	8086
459	6870	8065
460	6881	8045
461	6893	8027
462	6903	8007
463	6914	7987
464	6926	7968
465	6935	7947
466	6946	7928
467	6957	7909
468	6968	7889
469	6978	7869
470	6988	7849
471	6999	7829
472	7009	7810
473	7020	7791
474	7033	7774
475	7045	7756
476	7055	7736
477	7066	7716
478	7077	7697
479	7087	7678
480	7099	7660
481	7110	7641
482	7121	7623
483	7132	7604
484	7144	7586
485	7156	7568
486	7165	7548
487	7177	7530
488	7188	7512
489	7198	7492
490	7210	7474
491	7221	7456
492	7232	7437
493	7244	7420
494	7256	7403
495	7269	7387
496	7280	7368
497	7291	7350
498	7303	7332
499	7315	7315
500	7327	7298
501	7340	7282
502	7354	7266
503	7366	7249
504	7379	7233
505	7393	7218
506	7406	7201
507	7418	7185
508	7432	7169
509	7452	7159
510	7472	7150
511	7495	7143
512	7516	7135
513	7534	7124
514	7555	7115
515	7572	7102
516	7589	7090
517	7606	7077
518	7624	7066
519	7643	7055
520	7665	7047
521	7682	7035
522	7698	7021
523	7714	7007
524	7731	6995
525	7747	6981
526	7766	6970
527	7786	6960
528	7808	6952
529	7834	6947
530	7855	6938
531	7900	6949
532	7923	6942
533	7945	6933
534	7966	6924
535	7984	6911
536	8001	6898
537	8021	6887
538	8040	6876
539	8057	6863
540	8074	6850
541	8091	6837
542	8108	6823
543	8125	6810
544	8140	6796
545	8157	6782
546	8173	6769
547	8189	6754
548	8204	6739
549	8219	6725
550	8235	6711
551	8250	6696
552	8264	6680
553	8278	6664
554	8295	6651
555	8310	6636
556	8325	6621
557	8339	6605
558	8351	6588
559	8363	6571
560	8377	6555
561	8390	6539
562	8404	6523
563	8417	6507
564	8431	6491
565	8447	6477
566	8461	6461
567	8474	6445
568	8486	6428
569	8499	6411
570	8511	6394
571	8526	6379
572	8539	6363
573	8552	6347
574	8564	6330
575	8577	6313
576	8589	6297
577	8603	6281
578	8616	6265
579	8628	6248
580	8641	6232
581	8654	6215
582	8668	6200
583	8686	6187
584	8703	6174
585	8729	6166
586	8743	6151
587	8756	6135
588	8770	6120
589	8785	6105
590	8798	6088
591	8808	6071
592	8820	6053
593	8832	6036
594	8841	6018
595	8852	6000
596	8865	5984
597	8875	5966
598	8886	5949
599	8898	5932
600	8911	5916
601	8922	5898
602	8933	5881
603	8944	5863
604	8955	5846
605	8966	5829
606	8977	5812
607	8986	5794
608	9005	5782
609	9036	5777
610	9054	5764
611	9078	5755
612	9095	5741
613	9116	5731
614	9170	5740
615	9236	5758
616	9278	5759
617	9309	5754
618	9334	5745
619	9362	5738
620	9391	5731
621	9427	5728
622	9458	5723
623	9488	5717
624	9511	5706
625	9538	5698
626	9562	5688
627	9588	5679
628	9609	5667
629	9637	5660
630	9659	5648
631	9684	5639
632	9705	5626
633	9731	5617
634	9759	5609
635	9785	5600
636	9806	5588
637	9824	5574
638	9843	5560
639	9864	5548
640	9882	5535
641	9900	5520
642	9921	5508
643	9939	5494
644	9956	5480
645	9980	5469
646	10002	5457
647	10021	5443
648	10216	5525
649	10251	5519
650	10280	5511
651	10300	5497
652	10318	5483
653	10350	5476
654	10370	5462
655	10409	5458
656	10424	5442
657	10439	5425
658	10450	5407
659	10466	5391
660	10481	5375
661	10495	5358
662	10508	5341
663	10524	5325
664	10538	5308
665	10551	5291
666	10563	5273
667	10578	5257
668	10593	5241
669	10608	5225
670	10623	5208
671	10676	5211
672	10699	5198
673	10720	5185
674	10742	5172
675	10761	5157
676	10785	5145
677	10825	5141
678	10847	5127
679	10869	5115
680	10890	5101
681	10908	5086
682	10925	5070
683	10987	5076
684	11107	5107
685	11127	5093
686	11169	5089
687	11182	5071
688	11196	5054
689	11210	5036
690	11225	5019
691	11239	5002
692	11254	4985
693	11267	4968
694	11281	4950
695	11295	4933
696	11308	4916
697	11323	4899
698	11345	4885
699	11361	4869
700	11380	4854
701	11396	4837
702	11415	4822
703	11430	4806
704	11447	4790
705	11467	4775
706	11484	4759
707	11501	4743
708	11518	4727
709	11532	4710
710	11546	4693
711	11562	4677
712	11578	4660
713	11599	4646
714	11612	4628
715	11624	4610
716	11636	4592
717	11649	4575
718	11661	4557
719	11672	4539
720	11682	4520
721	11694	4502
722	11707	4485
723	11717	4467
724	11729	4449
725	11741	4431
726	11752	4413
727	11765	4395
728	11777	4378
729	11788	4360
730	11801	4342
731	11815	4325
732	11829	4309
733	11843	4292
734	11858	4275
735	11873	4259
736	11886	4241
737	11900	4224
738	11913	4207
739	11926	4190
740	11940	4173
741	11955	4157
742	11967	4139
743	11978	4121
744	11990	4104
745	12001	4086
746	12012	4068
747	12025	4051
748	12039	4034
749	12051	4017
750	12061	3999
751	12072	3981
752	12084	3964
753	12094	3946
754	12105	3928
755	12117	3910
756	12127	3892
757	12138	3875
758	12153	3859
759	12164	3841
760	12175	3823
761	12185	3806
762	12197	3788
763	12208	3771
764	12222	3754
765	12234	3737
766	12245	3719
767	12256	3702
768	12266	3684
769	12276	3666
770	12287	3649
771	12299	3632
772	12309	3614
773	12322	3598
774	12336	3581
775	12347	3564
776	12357	3546
777	12367	3529
778	12379	3511
779	12389	3494
780	12399	3476
781	12409	3459
782	12419	3441
783	12429	3424
784	12439	3406
785	12448	3389
786	12458	3371
787	12468	3354
788	12479	3337
789	12488	3319
790	12498	3302
791	12509	3285
792	12519	3268
793	12530	3250
794	12540	3233
795	12549	3216
796	12559	3199
797	12569	3181
798	12579	3164
799	12590	3147
800	12601	3130
801	12615	3114
802	12628	3098
803	12641	3081
804	12656	3065
805	12669	3049
806	12698	3036
807	12712	3020
808	12728	3005
809	12743	2989
810	12757	2973
811	12771	2956
812	12783	2940
813	12796	2924
814	12810	2907
815	12823	2891
816	12839	2875
817	12861	2861
818	12880	2846
819	12898	2831
820	12914	2815
821	12930	2800
822	12948	2784
823	12963	2768
824	12979	2753
825	12995	2737
826	13011	2721
827	13028	2706
828	13044	2690
829	13059	2674
830	13074	2658
831	13089	2643
832	13103	2627
833	13117	2611
834	13132	2595
835	13145	2578
836	13159	2562
837	13173	2546
838	13189	2530
839	13204	2515
840	13219	2499
841	13236	2483
842	13251	2467
843	13264	2451
844	13276	2435
845	13289	2419
846	13305	2403
847	13319	2387
848	13335	2371
849	13352	2356
850	13369	2340
851	13386	2325
852	13403	2309
853	13419	2294
854	13436	2278
855	13463	2264
856	13485	2250
857	13504	2234
858	13532	2221
859	13554	2206
860	13572	2191
861	13590	2175
862	13603	2159
863	13618	2143
864	13634	2127
865	13650	2112
866	13671	2097
867	13687	2081
868	13702	2065
869	13718	2049
870	13737	2034
871	13752	2018
872	13769	2003
873	13786	1987
874	13815	1973
875	13838	1958
876	13861	1944
877	13880	1928
878	13906	1914
879	13930	1899
880	13948	1884
881	13967	1868
882	13988	1853
883	14008	1838
884	14028	1822
885	14048	1807
886	14066	1792
887	14087	1776
888	14111	1761
889	14129	1746
890	14148	1730
891	14165	1715
892	14181	1699
893	14195	1683
894	14219	1668
895	14242	1653
896	14264	1637
897	14290	1623
898	14312	1607
899	14334	1592
900	14356	1577
901	14377	1562
902	14399	1546
903	14415	1530
904	14431	1514
905	14444	1498
906	14456	1482
907	14468	1466
908	14480	1449
909	14491	1433
910	14502	1416
911	14513	1400
912	14525	1384
913	14536	1367
914	14547	1351
915	14558	1335
916	14568	1318
917	14580	1302
918	14590	1286
919	14601	1269
920	14612	1253
921	14623	1237
922	14633	1220
923	14645	1204
924	14656	1188
925	14668	1172
926	14681	1156
927	14696	1140
928	14709	1124
929	14721	1108
930	14733	1091
931	14745	1075
932	14758	1059
933	14769	1043
934	14783	1027
935	14794	1011
936	14805	995
937	14815	979
938	14826	963
939	14836	947
940	14847	930
941	14858	914
942	14871	898
943	14881	882
944	14892	866
945	14903	850
946	14914	834
947	14926	818
948	14936	802
949	14946	786
950	14957	770
951	14966	754
952	14977	738
953	14987	722
954	14997	706
955	15007	690
956	15018	674
957	15028	658
958	15038	642
959	15047	626
960	15057	611
961	15068	595
962	15077	579
963	15087	563
964	15097	547
965	15106	531
966	15117	515
967	15126	500
968	15136	484
969	15147	468
970	15158	452
971	15170	436
972	15180	421
973	15189	405
974	15200	389
975	15210	374
976	15220	358
977	15230	342
978	15241	326
979	15252	311
980	15262	295
981	15273	279
982	15285	264
983	15297	248
984	15308	233
985	15319	217
986	15331	201
987	15342	186
988	15356	170
989	15371	155
990	15385	139
991	15398	124
992	15410	108
993	15422	93
994	15435	77
995	15447	62
996	15461	46
997	15472	31
998	15483	15
999	15495	0
